전경련BSI,주택매매가격,건설BSI(전망),"실업률(계절조정,%)",어음부도율,일별수출액YoY,내국인출국자수YoY,코스피 200 변동성지수,통안채 364일,공사채 AAA 3년,은행채 AAA 3년,국고채5년 - CD,국고채10년 - 통안채1년,은행채AAA3년 - 국고채3년,회사채AA-3년 - 국고채3년,내국인출국자수,한국(OECD),GDP서비스업,설비투자,건설투자,재화수출,내수,GDP디플레이터,총저축률,총투자율,Reuter CRB(EW)상품선물지수,Reuter CRB(EW)에너지지수,Reuter CRB(EW)산업지수,Reuter CRB(EW)귀금속지수,코스피지수
98.3,84.61,16.6,3.4,0.03,10.62,-11.98,81.27,3.25,7.01,7.77,-0.16,0.97,3.3,3.73,625487,-1.15,0.8,-1.2,-0.6,2.4,0.2,3,32.4,36.7,363.1,425.1,241,609.5,1474.2
84.9,84.14,41.5,3.4,0.04,7.78,-20.81,57.79,2.6,7.15,7.86,1.11,2.11,2.99,4.14,585138,-0.96,0.8,-1.2,0.5,-7.3,0.2,3.4,33.3,36.7,364.5,437.7,249.8,653,1448.1
63.7,83.93,44.5,3.3,0.04,-14.08,-14.66,48.61,2.67,4.91,5.62,2.08,2.39,2.21,4.31,727885,-0.44,-1.3,-8.4,0.5,-7.3,-2.3,3.4,33.3,28.5,352.5,424.2,238.1,686,1113.1
55,83.79,54.8,3.3,0.04,-26.45,-36.74,48.21,2.79,4.79,5.15,2.26,2.38,1.56,3.68,677631,0.43,-1.3,-8.4,0.5,-7.3,-2.3,3.4,33.3,28.5,368.8,458.6,269.5,688.8,1076.1
52,83.84,73.2,3.6,0.05,-26.91,-41.08,47.36,2.62,4.98,5.34,1.76,2.07,1.52,2.55,619047,1.62,-1.3,-8.4,-2.1,0.7,-2.3,4,33.1,28.5,371.6,463.2,309,663.8,1124.5
66,83.93,87.9,3.7,0.03,-25.95,-40.98,39.56,2.48,4.81,5.09,2.26,2.69,1.15,2.07,653393,3.03,0,-9.6,-2.1,0.7,-0.3,4,33.1,25.4,393,584.2,329,761,1162.1
76.1,84.09,88.4,3.9,0.04,-25.74,-35.51,34.57,2.97,4.33,4.51,2.23,2.22,0.92,1.52,653266,4.47,0,-9.6,-2.1,0.7,-0.3,4,33.1,25.4,398.8,607,333.7,711.3,1063
86.7,84.32,91.5,3.9,0.02,-23.22,-31.05,33.42,2.88,4.48,4.67,2.35,2.45,0.84,1.16,652598,5.85,0,-9.6,3.9,1.3,-0.3,4,32.3,25.4,413.4,621.9,366.1,730.3,1206.3
103.8,84.58,96.2,3.8,0.02,-27.75,-30.67,27.26,3.52,4.83,5.02,2.34,1.94,0.86,1.27,910729,7.1,1.3,5,3.9,1.3,2.7,4,32.3,26.7,415,606.8,379.2,752.4,1369.4
100.2,85.19,92.8,3.8,0.02,-19.07,-35.49,25.62,3.54,4.96,5.1,2.06,1.8,0.84,1.41,951374,8.19,1.3,5,3.9,1.3,2.7,4,32.3,26.7,430.7,600.1,388.3,807.7,1395.9
